country_code,C08,C11,C30,C29,C48,C49,C53,nonvalid_count
ALB,valid,valid,valid,valid,valid,valid,valid,0
ARE,valid,valid,valid,valid,valid,valid,valid,0
ARM,valid,valid,valid,valid,valid,valid,valid,0
ATG,invalid,missing,valid,valid,valid,valid,valid,2
AUS,valid,valid,valid,valid,valid,valid,valid,0
AUT,valid,valid,valid,valid,valid,valid,valid,0
BEL,valid,valid,valid,valid,valid,valid,valid,0
BGR,valid,valid,valid,valid,valid,valid,valid,0
BHR,valid,valid,valid,valid,valid,valid,valid,0
BHS,missing,valid,valid,valid,valid,valid,missing,2
BIH,valid,valid,valid,valid,valid,valid,invalid,1
BOL,missing,valid,valid,valid,valid,valid,valid,1
BRA,valid,valid,valid,valid,valid,valid,valid,0
BWA,valid,valid,valid,valid,valid,valid,valid,0
CAN,valid,valid,valid,valid,valid,valid,valid,0
CHE,valid,valid,valid,valid,valid,valid,valid,0
CHL,valid,valid,valid,valid,valid,valid,valid,0
CMR,valid,valid,valid,valid,valid,valid,valid,0
COL,valid,valid,valid,valid,valid,valid,valid,0
CRI,valid,valid,valid,valid,valid,valid,valid,0
CYP,valid,valid,valid,valid,valid,valid,valid,0
CZE,valid,valid,valid,valid,valid,valid,valid,0
DEU,valid,valid,valid,valid,valid,valid,valid,0
DNK,valid,valid,valid,valid,valid,valid,valid,0
DOM,valid,valid,valid,valid,valid,valid,valid,0
DZA,valid,valid,valid,valid,valid,valid,valid,0
ESP,valid,valid,valid,valid,valid,valid,valid,0
EST,valid,valid,valid,valid,valid,valid,valid,0
FIN,valid,valid,valid,valid,valid,valid,valid,0
FJI,valid,valid,valid,valid,valid,valid,valid,0
FRA,valid,valid,valid,valid,valid,valid,valid,0
GBR,valid,valid,valid,valid,valid,valid,valid,0
GHA,valid,valid,valid,valid,valid,valid,valid,0
GRC,valid,valid,valid,valid,valid,valid,valid,0
GRD,valid,missing,valid,valid,valid,valid,invalid,2
GTM,valid,valid,valid,valid,valid,valid,valid,0
GUY,stale,valid,valid,valid,valid,valid,valid,1
HND,valid,valid,valid,valid,valid,valid,valid,0
HRV,valid,valid,valid,valid,valid,valid,invalid,1
HTI,valid,valid,valid,valid,valid,valid,valid,0
HUN,valid,valid,valid,valid,valid,valid,valid,0
IDN,valid,valid,valid,valid,valid,valid,valid,0
IND,valid,valid,valid,valid,valid,valid,valid,0
IRL,valid,valid,valid,valid,valid,valid,valid,0
ISL,valid,valid,valid,valid,valid,valid,valid,0
ISR,valid,valid,valid,valid,valid,valid,valid,0
ITA,valid,valid,valid,valid,valid,valid,valid,0
JAM,valid,valid,valid,valid,valid,valid,valid,0
JPN,valid,valid,valid,valid,valid,valid,valid,0
KAZ,valid,valid,valid,valid,valid,valid,valid,0
KOR,valid,valid,valid,valid,valid,valid,valid,0
LTU,valid,valid,valid,valid,valid,valid,valid,0
LUX,valid,valid,valid,valid,valid,valid,valid,0
LVA,valid,valid,valid,valid,valid,valid,valid,0
MDA,valid,valid,valid,valid,valid,valid,valid,0
MEX,valid,valid,valid,valid,valid,valid,valid,0
MKD,valid,valid,valid,valid,valid,valid,valid,0
MLT,valid,valid,valid,valid,valid,valid,valid,0
MNE,valid,valid,valid,valid,valid,valid,valid,0
MNG,valid,valid,valid,valid,valid,valid,valid,0
MUS,valid,valid,valid,valid,valid,valid,valid,0
MYS,valid,valid,valid,valid,valid,valid,valid,0
NAM,valid,valid,valid,valid,valid,valid,valid,0
NGA,valid,valid,valid,valid,valid,valid,valid,0
NIC,valid,valid,valid,valid,valid,valid,missing,1
NLD,valid,valid,valid,valid,valid,valid,valid,0
NOR,valid,valid,valid,valid,valid,valid,valid,0
NZL,valid,valid,valid,valid,valid,valid,valid,0
OMN,valid,valid,valid,valid,valid,valid,valid,0
PAN,valid,valid,valid,valid,valid,valid,valid,0
PER,valid,valid,valid,valid,valid,valid,valid,0
PHL,valid,valid,valid,valid,valid,valid,valid,0
POL,valid,valid,valid,valid,valid,valid,valid,0
PRT,valid,valid,valid,valid,valid,valid,valid,0
PRY,valid,valid,valid,valid,valid,valid,valid,0
QAT,valid,valid,valid,valid,valid,valid,valid,0
ROU,valid,valid,valid,valid,valid,valid,valid,0
RUS,valid,valid,valid,valid,valid,valid,valid,0
SGP,valid,valid,valid,valid,valid,valid,valid,0
SLV,valid,valid,valid,valid,valid,valid,valid,0
SRB,valid,valid,valid,valid,valid,valid,valid,0
SVK,valid,valid,valid,valid,valid,valid,valid,0
SVN,valid,valid,valid,valid,valid,valid,valid,0
SWE,valid,valid,valid,valid,valid,valid,valid,0
TTO,valid,valid,valid,valid,valid,valid,valid,0
TUR,valid,valid,valid,valid,valid,valid,valid,0
UKR,valid,stale,valid,valid,valid,valid,valid,1
URY,valid,valid,valid,valid,valid,valid,valid,0
USA,valid,valid,valid,valid,valid,valid,valid,0
UZB,valid,valid,valid,valid,valid,valid,valid,0
ZAF,valid,valid,valid,valid,valid,valid,valid,0
